learning_rate,x0,x_final,f(x_final),iteraciones
0.01,-3.0,-2.322807473749766,4.1297213213454285,109
0.01,0.585,-0.47104312430006157,-1.7533109609909165,110
0.01,4.0,1.4079566284971092,0.21628418148211148,203
0.05,-3.0,-2.3228074437913446,4.129721321345407,15
0.05,0.585,-0.4710431686932623,-1.7533109609909379,15
0.05,4.0,1.4079565854227911,0.21628418148208883,32
0.1,-3.0,-2.3228074381330877,4.129721321345406,18
0.1,0.585,-0.47104322138265725,-1.7533109609909128,613
0.1,4.0,1.4079565312900126,0.2162841814821057,64
