Método,Inicial,Resultado,f(x),Iteraciones
Bisección,"[-2,1]",9.5367431640625e-07,-0.9999999999995453,20.0
Bisección,"[-1,0]",f'(a) y f'(b) deben tener signos opuestos.,,
Bisección,"[1,2]",f'(a) y f'(b) deben tener signos opuestos.,,
Newton,-2,-3.1415926536808043,1.0,6.0
Newton,-1,-2.923566201412306e-13,-1.0,5.0
Newton,4,3.1415923871630587,0.9999999999999645,4.0
Gradiente,-3,-9.555620888142944e-07,-0.9999999999995435,339.0
Gradiente,0.585,9.748351419105865e-07,-0.9999999999995248,261.0
Gradiente,4,6.283184307891449,-0.9999999999995007,300.0
